Features,Classifier,Accuracy,Precision,Recall,MCC
dde,xgb,0.9326086956521739,0.908695652173913,0.9565217391304348,0.8662086129054816
aadp,xgb,0.9456521739130435,0.9478260869565217,0.9434782608695652,0.8913127723722558
esm2,xgb,0.9391304347826087,0.9391304347826087,0.9391304347826087,0.8782608695652174
dde+esm2,xgb,0.9478260869565217,0.9434782608695652,0.9521739130434783,0.8956860379194799
dde+aadp,xgb,0.9391304347826087,0.9304347826086956,0.9478260869565217,0.8783937179806748
aadp+esm2,xgb,0.9391304347826087,0.9304347826086956,0.9478260869565217,0.8783937179806748
dde+esm2+aadp,xgb,0.9369565217391305,0.9347826086956522,0.9391304347826087,0.873921303643041
protbert,cnn,0.6891304347826087,0.7913043478260869,0.5869565217391305,0.3864148634647947
protbert,svm,0.758695652173913,0.7260869565217392,0.7913043478260869,0.5184951391308559
protbert,rf,0.6239130434782608,0.7913043478260869,0.45652173913043476,0.26300254589153726
protbert,nb,0.7021739130434783,0.782608695652174,0.6217391304347826,0.40968367948719575
protbert,xgb,0.5521739130434783,0.6304347826086957,0.47391304347826085,0.10565001387665333
protbert,bilstm,0.6521739130434783,0.717391304347826,0.5869565217391305,0.30697030675746023
